timestamp,rack_id,power_watts
2025-09-27 13:37:07.884752,Rack1,341
2025-09-27 13:37:07.884752,Rack2,311
2025-09-27 13:37:07.884752,Rack3,206
2025-09-27 13:37:07.884752,Rack4,313
2025-09-27 13:37:17.884826,Rack1,457
2025-09-27 13:37:17.884826,Rack2,381
2025-09-27 13:37:17.884826,Rack3,383
2025-09-27 13:37:17.884826,Rack4,343
2025-09-27 13:37:27.884837,Rack1,360
2025-09-27 13:37:27.884837,Rack2,421
2025-09-27 13:37:27.884837,Rack3,490
2025-09-27 13:37:27.884837,Rack4,261
2025-09-27 13:37:37.884847,Rack1,236
2025-09-27 13:37:37.884847,Rack2,314
2025-09-27 13:37:37.884847,Rack3,264
2025-09-27 13:37:37.884847,Rack4,276
2025-09-27 13:37:47.884856,Rack1,376
2025-09-27 13:37:47.884856,Rack2,342
2025-09-27 13:37:47.884856,Rack3,332
2025-09-27 13:37:47.884856,Rack4,397
2025-09-27 13:37:57.884865,Rack1,231
2025-09-27 13:37:57.884865,Rack2,272
2025-09-27 13:37:57.884865,Rack3,377
2025-09-27 13:37:57.884865,Rack4,437
2025-09-27 13:38:07.884875,Rack1,217
2025-09-27 13:38:07.884875,Rack2,449
2025-09-27 13:38:07.884875,Rack3,427
2025-09-27 13:38:07.884875,Rack4,325
2025-09-27 13:38:17.884886,Rack1,328
2025-09-27 13:38:17.884886,Rack2,452
2025-09-27 13:38:17.884886,Rack3,399
2025-09-27 13:38:17.884886,Rack4,233
2025-09-27 13:38:27.884895,Rack1,424
2025-09-27 13:38:27.884895,Rack2,477
2025-09-27 13:38:27.884895,Rack3,370
2025-09-27 13:38:27.884895,Rack4,453
2025-09-27 13:38:37.884904,Rack1,374
2025-09-27 13:38:37.884904,Rack2,352
2025-09-27 13:38:37.884904,Rack3,301
2025-09-27 13:38:37.884904,Rack4,378
2025-09-27 13:38:47.884913,Rack1,362
2025-09-27 13:38:47.884913,Rack2,219
2025-09-27 13:38:47.884913,Rack3,385
2025-09-27 13:38:47.884913,Rack4,418
2025-09-27 13:38:57.884923,Rack1,420
2025-09-27 13:38:57.884923,Rack2,473
2025-09-27 13:38:57.884923,Rack3,351
2025-09-27 13:38:57.884923,Rack4,388
2025-09-27 13:39:07.884933,Rack1,296
2025-09-27 13:39:07.884933,Rack2,230
2025-09-27 13:39:07.884933,Rack3,425
2025-09-27 13:39:07.884933,Rack4,402
2025-09-27 13:39:17.884942,Rack1,249
2025-09-27 13:39:17.884942,Rack2,216
2025-09-27 13:39:17.884942,Rack3,338
2025-09-27 13:39:17.884942,Rack4,286
2025-09-27 13:39:27.884951,Rack1,274
2025-09-27 13:39:27.884951,Rack2,236
2025-09-27 13:39:27.884951,Rack3,377
2025-09-27 13:39:27.884951,Rack4,354
2025-09-27 13:39:37.884960,Rack1,345
2025-09-27 13:39:37.884960,Rack2,398
2025-09-27 13:39:37.884960,Rack3,325
2025-09-27 13:39:37.884960,Rack4,449
2025-09-27 13:39:47.884969,Rack1,304
2025-09-27 13:39:47.884969,Rack2,206
2025-09-27 13:39:47.884969,Rack3,385
2025-09-27 13:39:47.884969,Rack4,488
2025-09-27 13:39:57.884979,Rack1,446
2025-09-27 13:39:57.884979,Rack2,478
2025-09-27 13:39:57.884979,Rack3,368
2025-09-27 13:39:57.884979,Rack4,433
2025-09-27 13:40:07.884988,Rack1,362
2025-09-27 13:40:07.884988,Rack2,482
2025-09-27 13:40:07.884988,Rack3,364
2025-09-27 13:40:07.884988,Rack4,428
2025-09-27 13:40:17.884997,Rack1,214
2025-09-27 13:40:17.884997,Rack2,240
2025-09-27 13:40:17.884997,Rack3,233
2025-09-27 13:40:17.884997,Rack4,346
2025-09-27 13:40:27.885006,Rack1,423
2025-09-27 13:40:27.885006,Rack2,391
2025-09-27 13:40:27.885006,Rack3,484
2025-09-27 13:40:27.885006,Rack4,464
2025-09-27 13:40:37.885015,Rack1,209
2025-09-27 13:40:37.885015,Rack2,365
2025-09-27 13:40:37.885015,Rack3,398
2025-09-27 13:40:37.885015,Rack4,472
2025-09-27 13:40:47.885024,Rack1,418
2025-09-27 13:40:47.885024,Rack2,244
2025-09-27 13:40:47.885024,Rack3,382
2025-09-27 13:40:47.885024,Rack4,269
2025-09-27 13:40:57.885039,Rack1,256
2025-09-27 13:40:57.885039,Rack2,332
2025-09-27 13:40:57.885039,Rack3,359
2025-09-27 13:40:57.885039,Rack4,419
2025-09-27 13:41:07.885048,Rack1,417
2025-09-27 13:41:07.885048,Rack2,456
2025-09-27 13:41:07.885048,Rack3,206
2025-09-27 13:41:07.885048,Rack4,259
2025-09-27 13:41:17.885059,Rack1,369
2025-09-27 13:41:17.885059,Rack2,384
2025-09-27 13:41:17.885059,Rack3,385
2025-09-27 13:41:17.885059,Rack4,326
2025-09-27 13:41:27.885068,Rack1,261
2025-09-27 13:41:27.885068,Rack2,299
2025-09-27 13:41:27.885068,Rack3,285
2025-09-27 13:41:27.885068,Rack4,439
2025-09-27 13:41:37.885077,Rack1,337
2025-09-27 13:41:37.885077,Rack2,344
2025-09-27 13:41:37.885077,Rack3,288
2025-09-27 13:41:37.885077,Rack4,329
2025-09-27 13:41:47.885088,Rack1,464
2025-09-27 13:41:47.885088,Rack2,355
2025-09-27 13:41:47.885088,Rack3,309
2025-09-27 13:41:47.885088,Rack4,416
2025-09-27 13:41:57.885097,Rack1,460
2025-09-27 13:41:57.885097,Rack2,220
2025-09-27 13:41:57.885097,Rack3,465
2025-09-27 13:41:57.885097,Rack4,259
2025-09-27 13:42:07.885106,Rack1,362
2025-09-27 13:42:07.885106,Rack2,302
2025-09-27 13:42:07.885106,Rack3,477
2025-09-27 13:42:07.885106,Rack4,374
2025-09-27 13:42:17.885115,Rack1,309
2025-09-27 13:42:17.885115,Rack2,498
2025-09-27 13:42:17.885115,Rack3,442
2025-09-27 13:42:17.885115,Rack4,401
2025-09-27 13:42:27.885125,Rack1,404
2025-09-27 13:42:27.885125,Rack2,423
2025-09-27 13:42:27.885125,Rack3,231
2025-09-27 13:42:27.885125,Rack4,238
2025-09-27 13:42:37.885134,Rack1,443
